 Atr-1; Atr-2; Atr-3; Atr-4; Atr-5; Atr-6; Atr-7; Atr-8; Atr-9; Atr-10; Atr-11; Atr-12; Atr-13; Atr-14; Atr-15; Atr-16; Atr-17; Atr-18; Atr-19; Atr-20; Atr-21; Atr-22; Atr-23; Atr-24; Atr-25; Atr-26; Atr-27; Atr-28; Atr-29; Atr-30 ; Atr-31; Atr-32; Atr-33; Atr-34; Atr-35; Atr-36; Atr-37; Atr-38; Atr-39; Atr-40; Atr-41; Atr-42; Atr-43; Atr-44; Atr-45; Atr-46; Atr-47; Atr-48; Atr-49; Atr-50; Atr-51; Atr-52; Atr-53; Atr-54; Atr-55; Atr-56; Atr-57; Atr-58; Atr-59; Atr-60; Atr-61; Atr-62; Atr-63; Atr-64; Atr-65; Atr-66; Atr-67; Atr-68; Atr-69; Atr-70; Atr-71; Atr-72; Atr-73; Atr-74; Atr-75; Atr-76; Atr-77; Atr-78; Atr-79; Atr-80; Atr-81; Atr-82; Atr-83; Atr-84; Atr-85; Atr-86; Atr-87; Atr-88; Atr-89; Atr-90; Atr-91; Atr-92; Atr-93; Atr-94; Atr-95; Atr-96; Atr-97; Atr-98; Atr-99; Atr-100; Atr-101; Atr-102; Atr-103; Atr-104; Atr-105; Atr-106; Atr-107; Atr-108; Atr-109; Atr-110; Atr-111; Atr-112; Atr-113; Atr-114; Atr-115; Atr-116; Atr-117; Atr-118; Atr-119; Atr-120; Atr-121; Atr-122; Atr-123; Atr-124; Atr-125; Atr-126; Atr-127; Atr-128; Atr-129; Atr-130; Atr-131; Atr-132; Atr-133; Atr-134; Atr-135; Atr-136; Atr-137; Atr-138; Atr-139; Atr-140; Atr-141; Atr-142; Atr-143; Atr-144; Atr-145; Atr-146; Atr-147; Atr-148; Atr-149; Atr-150; Atr-151; Atr-152; Atr-153; Atr-154; Atr-155; Atr-156; Atr-157; Atr-158; Atr-159; Atr-160; Atr-161; Atr-162; Atr-163; Atr-164; Atr-165; Atr-166; Atr-167; Atr-168; Atr-169; Atr-170; Atr-171; Atr-172; Atr-173; Atr-174; Atr-175; Atr-176; Atr-177; Atr-178; Atr-179; Atr-180; Atr-181; Atr-182; Atr-183; Atr-184; Atr-185; Atr-186; Atr-187; Atr-188; Atr-189; Atr-190; Atr-191; Atr-192; Atr-193; Atr-194; Atr-195; Atr-196; Atr-197; Atr-198; Atr-199; Atr-200; Atr-201; Atr-202; Atr-203; Atr-204; Atr-205; Atr-206; Atr-207; Atr-208; Atr-209; Atr-210; Atr-211; Atr-212; Atr-213; Atr-214; Atr-215; Atr-216; Atr-217; Atr-218; Atr-219; Atr-220; Atr-221; Atr-222; Atr-223; Atr-224; Atr-225; Atr-226; Atr-227; Atr-228; Atr-229; Atr-230;CLASS
-0,28698;-0,624297;-0,679333;-0,455715;0,371213;-0,415471;-0,549112;-0,4722;0,363383;0,33419;154.853;267.959;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,114571;-0,18949;-0,160794;-0,201557;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;-0,095154;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,76773;-0,576647;-0,225701;152.192;0;0;-0,040796;0,294196;212.129;0,308044;220.522;337.762;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,364454;-0,145139;-0,204506;139.406;679.227;-0,032187;0;0;0,20782;850.137;199.924;113.521;142.932;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,242745;-0,173706;-0,308654;165.218;-0,017565;0;0;0;-0,049855;120.049;-0,078862;-0,021452;0;0;-0,014952;-0,021097;1
0,363763;0,146879;-0,83422;0,819986;0,504474;167.231;-0,774634;0,76555;0,355781;0,215197;12.667;127.461;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,1861;-0,196407;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,086772;0,239422;0,044239;-0,201557;0;-0,021708;-0,021658;133.326;0,312614;103.754;60.759;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,713424;-0,587899;-0,018151;122.058;0;0;-0,040796;-0,023052;624.819;0,460983;738.843;387.787;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,364504;-0,040356;-0,056672;760.108;258.033;-0,032187;0;0;-0,061848;782.163;445.608;15.235;519.252;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,265739;-0,149831;-0,321915;0,817139;-0,017565;0;0;0;-0,049855;129.994;-0,078862;-0,021452;0;0;-0,014952;-0,021097;1
-0,15592;-0,139025;-115.844;246.346;-0,463596;-138.827;-0,945256;260.892;-0,049767;0,846782;124.899;-0,736989;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,114571;-0,18949;-0,160794;-0,201557;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;-0,095154;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,741689;-0,590402;-0,188466;-0,102253;0;0;-0,040796;-0,056023;0,524612;411.762;151.171;186.687;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,364342;0,078763;-0,290162;0,248822;-0,072849;-0,032187;0;0;-0,061848;915.596;14.858;377.126;-0,032023;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,265739;0,502075;-0,399635;-0,102856;-0,017565;0;0;0;-0,049855;0,031608;0,182763;-0,021452;0;0;-0,014952;-0,021097;1
-122.972;-119.093;-0,364069;-132.571;-0,005645;-0,740226;-0,468026;-131.328;-0,082819;0,857917;0,649394;34.339;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,276953;-0,025787;-0,073582;-0,114571;-0,182673;-0,126751;-0,024291;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;-0,095154;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,747698;-0,418958;231.595;798.975;0;0;-0,040796;-0,015999;0,237677;-0,036041;20.454;357.961;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,363788;-0,497624;0,806601;163.691;176.033;-0,032187;0;0;-0,002217;155.622;129.299;821.829;960.575;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,265739;-0,337459;-0,311496;11.019;-0,017565;0;0;0;-0,049855;0,591019;-0,078862;-0,021452;0;0;-0,014952;-0,021097;1
0,9162;0,265188;-0,252377;256.115;-0,128087;-0,105623;-0,302654;259.287;-0,167432;-0,626084;156.991;0,629992;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,114571;-0,18949;-0,160794;0,248541;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;271.941;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,783786;-0,589496;-0,114503;0,089;0;0;-0,040796;-0,056023;-0,134261;564.166;729.172;115.355;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,363897;-0,854578;-0,21833;0,482123;-0,072849;-0,032187;0;0;-0,061848;263.745;169.809;41.669;-0,032023;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,265739;133.835;-0,378855;-0,102856;-0,017565;0;0;0;-0,049855;-0,114025;0,167061;-0,021452;0;0;-0,014952;-0,021097;1
-131.524;-124.261;0,437154;108.356;-0,383801;0,125431;0,435231;114.984;-0,414661;0,872206;134.095;-0,444741;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,003729;0,449524;0,002724;0,066954;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;236.568;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,638015;-0,47602;-0,184978;-0,090509;0;0;-0,040796;0,533056;497.492;203.539;138.904;260.663;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,364389;-0,074236;-0,337833;74.651;525.515;-0,032187;0;0;-0,061848;421.203;55.169;80.294;356.966;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,265739;0,063241;-0,273795;229.846;-0,017565;0;0;0;-0,049855;126.134;0,386278;-0,021452;0;0;-0,014952;-0,021097;1
0,711257;123.915;0,080816;15.761;-0,639437;-0,803429;0,106957;15.865;-0,691636;0,718781;136.376;-0,243858;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,114571;-0,18949;-0,160794;-0,201557;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;-0,095154;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,758306;-0,590402;-0,224387;-0,102253;0;0;-0,040796;-0,056023;0,635701;241.641;13.487;744.856;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,364504;-0,113807;-0,067848;113.837;-0,072849;-0,032187;0;0;-0,061848;549.333;155.109;130.012;-0,032023;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,259163;0,373897;-0,351426;-0,102856;-0,017565;0;0;0;-0,049855;0,743916;165.421;-0,021452;0;0;-0,014952;-0,021097;1
-131.945;-123.505;-0,940729;0,531584;0,887268;0,59005;-0,731768;0,4398;0,73687;0,904236;0,142002;-0,340954;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,114571;-0,18949;-0,160794;-0,201557;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;-0,095154;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,408478;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,785786;-0,590402;-0,257389;-0,102253;0;0;-0,040796;-0,056023;-0,168633;-0,188284;-0,115671;-0,074486;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,254308;-0,391468;-0,187455;-0,077681;-0,03269;0;-0,053085;0,037243;0,478554;107.848;0,788404;-0,072849;-0,032187;0;0;-0,061848;-0,174962;-0,192699;-0,054582;-0,032023;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;0,678259;-0,023567;153.431;-0,086975;-0,017565;0;0;0;-0,049855;-0,114025;-0,078862;-0,021452;0;0;-0,014952;-0,021097;1
-132.366;-124.941;156.177;-0,288667;0,229192;194.448;154.456;-0,462345;0,213327;0,895842;0,248329;0,844238;-0,054535;-0,297912;-0,205916;-0,297324;-0,224295;-0,014952;-0,08711;14.481;126.498;0,309131;-0,021302;-0,028883;0,784345;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,144726;-0,122219;-0,200312;118.715;-0,025787;-0,073582;161.729;139.294;0,480165;161.074;0;-0,021708;-0,021658;-0,041491;0,074499;-0,071887;0,452794;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,320054;-0,3835;-0,253237;-0,139878;0;-0,06989;-0,263975;-0,514925;0,129303;106.207;0,419812;0;0;-0,040796;-0,056023;-0,168633;-0,110861;-0,10435;-0,074486;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,253726;-0,375283;-0,187455;-0,077681;-0,03269;0;-0,053085;-0,363794;0,667866;0,235931;108.629;-0,072849;-0,032187;0;0;-0,061848;-0,174962;-0,192699;-0,054582;-0,032023;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;0,532629;-0,023558;0,260907;-0,006864;-0,017565;0;0;0;-0,049855;-0,114025;-0,078862;-0,021452;0;0;-0,014952;-0,021097;1
-0,043059;-0,278898;0,462004;-141.765;-0,061886;-147.685;0,309951;-137.191;0,106569;0,74608;0,007369;17.644;-0,054535;-0,297912;-0,261335;-0,302051;-0,225084;-0,014952;-0,08711;-0,167402;-0,200329;-0,248836;-0,021302;-0,028883;-0,038542;-0,023332;-0,023412;0;0;-0,02702;-0,198246;-0,20685;-0,080912;-0,327191;-0,347995;-0,26576;-0,080866;-0,224814;-0,529019;-0,451394;-0,309461;-0,025787;-0,073582;-0,114571;-0,18949;-0,160794;-0,201557;0;-0,021708;-0,021658;-0,041491;-0,032279;-0,071887;-0,095154;-0,014952;0;0;0;0;-0,014952;-0,017265;-0,024647;-0,021215;0;0;0;0;0;0;-0,065785;-0,049974;-0,014952;-0,048732;-0,173228;-0,177573;-0,091775;-0,050171;-0,114846;-0,3317;-0,406053;-0,263784;-0,139878;0;-0,06989;-0,263975;-0,783634;-0,370505;0,652019;0,4289;0;0;-0,040796;-0,056023;-0,168633;-0,188284;-0,115671;-0,074486;0;0;0;-0,014952;-0,014982;-0,040764;-0,042342;-0,027653;-0,014952;0;0;0;0;0;-0,021732;-0,021365;-0,018;0;0;0;0;0;0;-0,017556;-0,021126;0;0;0;0;0;0;0;0;0;0;0;-0,018485;-0,01594;0;0;-0,043134;-0,029996;-0,09331;-0,098605;-0,071579;-0,017934;-0,063725;-0,182197;-0,255619;-0,380263;-0,18695;-0,077681;-0,03269;0;-0,053085;-0,364504;105.899;239.473;0,441861;-0,072849;-0,032187;0;0;-0,061848;-0,174962;-0,192699;-0,054582;-0,032023;0;0;0;-0,015029;-0,021431;-0,018157;0;0;0;0;0;0;-0,019294;-0,017308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,032096;-0,043388;-0,027179;0;0;0;-0,099876;-0,135405;-0,183154;-0,106346;-0,037709;0;0;0;-0,265739;-0,420014;0,179146;-0,102856;-0,017565;0;0;0;-0,049855;-0,114025;-0,078862;-0,021452;0;0;-0,014952;-0,021097;1
