v1;v2;v3;v4;v5;v6;v7;v8;v9;v10;v11;v12;v13;v14;v15;v16;v17;v18;v19;v20;v21;v22;v23;v24;v25;v26;v27;v28;v29;v30;v31;v32;v33;v34;v35;v36;v37;v38;v39;v40;v41;v42;v43;v44;v45;v46;v47;v48;v49;v50;v51;v52;v53;v54;v55;v56;v57;v58;v59;v60;v61;v62;v63;v64;v65;v66;v67;v68;v69;v70;v71;v72;v73;v74;KEY;target;v75;v76;v77;v78;v79;v80;v81;v82;v83;v84;v85;v86;v87;v88;v89;v90;v91;v92;v93;v94;v95;v96;v97;v98;v99;v100;v101;v102;v103;v104;v105;v106;v107;v108;v109;v110;v111;v112;v113;v114
6;-1;-1;4;1;0;6;0;808173;3;40;161;161;36;40;68;-1;22;-1;134695,5;161;0,2792;209300;185004;36;21;2;4;0;1;0;4;0;0;2;209300;27;161;22;161;87,5;87,5;1;-1;0;0;0;0;0;-1;-0,01;-0,01;0;161;5;93,75;1;684;156;156;S;SELECT;0;40;0,6667;1;2;M;209300;808173;0;;54;1;582837480;0;S;1;0,805187963;0;0;0,067150649;0,127661388;0,321107866;0,231636617;0;0;0,019317911;0,036725651;0,287680179;0,332779822;0,50295887;0;0;0,164261308;0,40594692;0,613542621;;;0,14282475;0,505875084;0;0;0,344694559;0,655305441;0;0;0,019317911;0,036725651;0;0;0,581801843;0,003501033;0,414697124;0;0
2;28;-1;2;2;1;2;0;217700;4;33;55;55;42;12;5;28;37;-1;108850;55;0,8637;0;142700;0;54;0;2;1;2;1;1;0;0;1;142700;86;55;5;55;-0,01;-0,01;;;;;;;;;-0,01;-0,01;0;55;5;;3;638;;;S;SELECT;0;29;0,7647;3;1;H;142700;217700;1;1381,813291;50;3;4029220845;0;S;1;0,220425398;0,312400332;0;0,179951935;0,287222335;0,113723043;0,015220648;0,021571632;0;0,012425905;0,01983306;0,069051245;0,016616469;0,291621044;0,163613438;0;0,528149049;0,045261753;0,794349251;0,27279427;;0,597419389;0,536072857;0,400731799;0;0,230833501;0,3684347;0,021571632;0;0,012425905;0,01983306;0,321519669;0;0,473915603;0,007761966;0,196802762;0;0
6;2;-1;0;0;2;6;0;477091;6;-1;306;306;25;-1;-1;1;20;-1;79515,17;306;0,4917;169991;121500;42;305;1;5;2;0;0;0;0;0;1;169991;49;306;1;306;91,5;91,5;2;-1;0;0;0;0;0;-1;0;0;0;306;5;83,25;2;669;301;301;S;SELECT;0;48;0,9333;2;1;H;169991;477091;2;6551,0273;50;2;585582185;0;S;0;0;0,637944748;0;0;0,362055252;0,029105728;0;0,017523902;0;0;0,009945408;0,02746931;0;0,341699342;0,658300658;0;0;0;1,783394023;0,986818547;;;1,164558508;0,637944748;0;0;0,362055252;0,017523902;0;0;0,009945408;0,776869906;0;0;0;0,223130094;0;0
7;-1;-1;4;1;0;7;0;820000;18;19;83;133;33;6;80;-1;2;-1;117142,86;83;0,6053;100000;250000;10;83;2;5;0;1;0;4;0;0;2;250000;60;83;2;83;-0,01;-0,01;;;;;;;;;-0,01;-0,01;0;83;5;;1;662;;;S;SELECT;0;58;0,6667;1;2;H;250000;820000;5;1196,556733;50;1;4034170100;0;S;0;0,042020679;0;0,558682066;0,255148181;0,144149074;0,013023856;0,001889571;0;0,025122615;0,011473412;0,006482044;0,044967642;0;0,642790815;0;0;0,357209185;0;0,777058975;;;0,744422492;0,762099202;0;0;0,638993076;0,361006924;0;0;0,011473412;0,006482044;0;0;0,365691308;0,003892748;0,630415944;0;0
5;-1;-1;0;1;0;5;0;126900;2;-1;58;58;0;-1;6;-1;13;-1;25380;58;0,3632;8000;50000;21;45;2;3;0;1;0;0;0;0;2;50000;36;58;2;58;87,5;100;2;-1;0;0;0;0;0;-1;-0,01;-0,01;0;58;2;83,33333333;2;674;54;54;S;PREFERENTE;0;28;0,7333;2;2;H;50000;126900;1;;51;2;4034857455;0;S;1;0,041067762;0;0;0;0,958932238;0,052825686;0,002169433;0;0;0;0,050656253;0,052825686;0;1;0;0;0;0;0,352287057;;;;0,345149044;0;0;0;1;0;0;0;0,050656253;0;0;0;0,020261922;0,979738078;0;0
4;-1;-1;1;0;0;4;0;278033;11;25;25;25;20;25;-1;-1;14;-1;69508,25;25;0,5054;125033;100000;13;15;2;2;0;0;0;1;0;0;2;125033;50;25;5;25;;;;;;;;;;;;;0;25;3;;1;676;;;S;PREFERENTE;;43;0,875;1;2;H;125033;278033;0;866,4092;50;1;4039130970;0;S;0;0;0;0;0;1;0,052664911;0;0;0;0;0,052664911;0,052664911;0;1;0;0;0;0;1,046692636;;;0;1,003649505;0;0;0;1;0;0;0;0,052664911;0;0;0,04112299;0;0,95887701;0;0
2;-1;-1;0;0;0;2;0;150000;5;-1;50;50;0;-1;-1;-1;2;-1;75000;50;0,2826;75000;75000;2;50;1;1;0;0;0;0;0;0;1;75000;28;50;1;50;100;100;1;-1;0;0;0;0;0;-1;-0,01;-0,01;0;50;3;100;2;655;48;48;S;PREFERENTE;0;30;0,7143;2;1;H;75000;150000;1;;0;2;4042762555;0;N;0;0;0;0;0;1;0,041781678;0;0;0;0;0,041781678;0,041781678;0;1;0;0;0;0;0,412666115;;;;0,412666115;0;0;0;1;0;0;0;0,041781678;0;0;0;0;1;0;0
7;-1;46;0;1;0;7;1;663994;10;-1;292;292;11;-1;54;-1;25;46;94856,29;292;0,5632;345575;89500;73;124;2;5;0;1;0;0;1;0;3;345575;56;292;19;186;-0,01;-0,01;;;;;;;;;-0,01;-0,01;1;186;5;;1;700;;;A;SELECT;1;46;0,9091;1;3;H;345575;663994;0;9268,981827;50;1;593552950;0;S;1;0;0;0,23238342;0;0,76761658;0,055463448;0;0;0,007219523;0;0,023847768;0,031067291;0;0,429972693;0;0,570027307;0;0;0,864568811;;0,873833827;;0,861998049;0;0,23238342;0;0,76761658;0;0,007219523;0;0,023847768;0;0,562306485;0;0,00899933;0,428694185;0;0
5;12;-1;0;1;1;6;0;107899;2;-1;39;39;12;-1;16;12;7;-1;17983,17;39;0,5547;30000;34500;20;38;1;5;1;1;0;0;0;0;1;34500;55;39;7;39;58,33;58,33;2;-1;0;0;0;0;0;-1;-0,01;-0,01;0;39;5;83,332;2;644;35;45;S;SELECT;0;28;0,6875;2;1;H;34500;107899;2;;54;2;4054662985;1;S;0;0;0,37251045;0;0;0,62748955;0,063849483;0;0,016588106;0;0;0,027942473;0,044530579;0,109963265;0,327667099;0,562369636;0;0;0,245814568;0,732475034;0,944839956;;;0,95404262;0,37251045;0;0;0,62748955;0,016588106;0;0;0,027942473;0,56784707;0;0;0,005369268;0,426783662;0;0,000821193
5;70;-1;1;2;2;5;0;685780;13;14;116;116;30;14;7;70;14;-1;137156;116;0,0324;100000;500000;14;96;1;4;2;2;1;0;0;0;2;500000;3;116;4;116;80;80;3;-1;0;0;0;0;0;-1;0;0;0;116;5;85;3;694;112;112;S;SELECT;0;40;0,6667;3;2;M;500000;685780;1;;50;3;4055038230;0;S;1;0,928709903;0,020070704;0;0;0,051219393;0,75908936;0,641616675;0,013866222;0;0;0,035385879;0,690868777;0,641616675;0,250244797;0,029567018;0;0,078571509;0,159971602;0,062392488;0,014284627;;0,013962;0,081120489;0,051069474;0;0,81860388;0,130326646;0,013866222;0;0,222264741;0,035385879;0,16790715;0;0,456507607;0,05022588;0,325359363;0;0
